l,PCA_dim,strict_mean,strict_std,loose_mean,loose_std
11,11,0.01983529647556746,0.004422033069314693,0.3785018628591993,0.011602808574042134
19,18,0.019473735801820973,0.003103927378776392,0.4269698553160836,0.010509579866030844
30,28,0.022503990868132213,0.004008906748589011,0.47832485150118287,0.008190582756406797
41,38,0.028632153996708435,0.004613473982913864,0.5013340702516316,0.00887402325452984
51,47,0.028130535838677466,0.003934900238700195,0.5063128830181423,0.010778806004984032
60,56,0.028348782360778136,0.003915350041696633,0.5034643005246667,0.010253932971774184
68,63,0.02996968853612537,0.005708211930515538,0.5020211431303966,0.009156106169879958
77,71,0.039993337977215805,0.008353672506575144,0.5152985763474451,0.01242048353210096
86,79,0.052079410674084704,0.007396521199805376,0.5276684862931537,0.016454140931933467
93,85,0.06909517450850737,0.009657854742067117,0.5366442872690979,0.013225251262785802
98,90,0.07602848671760531,0.013157166181503036,0.5411169716148069,0.01319677751328953
106,97,0.14302747213103825,0.011169471735274624,0.5666485237189631,0.014122147082317007
114,104,0.1824502702032428,0.012528698737867177,0.5819005578237801,0.01134166487582348
121,110,0.2132827966084886,0.01647699036587601,0.6087720319786786,0.010025182942546342
129,117,0.21671201735668016,0.015300918725792244,0.6109343530337272,0.013169994167273012
136,123,0.23791954424176984,0.013219042570120028,0.6332253477266988,0.008584525560952854
146,131,0.2802258499030672,0.013265811922627392,0.6591128585849331,0.013105817937766606
153,137,0.3259967501279892,0.012940221563276346,0.6860942684339983,0.008772271457187118
164,146,0.34767268071371604,0.015962129258268738,0.6953234827722272,0.010128025157867922
174,155,0.3629592022975914,0.01450779224649467,0.7141576540605051,0.01087171425851495
183,163,0.39195080445570063,0.014268916956428615,0.7406269460291329,0.013249641931686327
192,170,0.4112838893751674,0.01093622946573775,0.748308072967314,0.009049258602444552
203,179,0.4294988161082666,0.00943394309882263,0.7584815941040319,0.013491828338709476
213,187,0.43418528130043854,0.009498286996773218,0.76147662636493,0.012765317965229955
224,196,0.4397395434354016,0.015675715276791305,0.7636392573081675,0.014664791118630354
234,204,0.4627872603964173,0.010007778580950444,0.7849113867751897,0.010340334218694057
244,213,0.4694560958142837,0.012054349441393837,0.7948671053086622,0.011765222175418113
250,217,0.4791612891552701,0.016518454696333503,0.7989105164772161,0.01739319780106731
260,225,0.48020741848153387,0.013605932666622824,0.7984395344474498,0.012975806950268056
270,233,0.49611307011488215,0.018364027552611562,0.8058321408226152,0.012962745018672065
281,242,0.5119788344781527,0.013744304112570637,0.8163972462617582,0.013953711019532637
289,248,0.5085137256389055,0.015157561235360037,0.8070920980604372,0.012839443735787064
297,255,0.5140351410772804,0.015162901314792695,0.8119896659758928,0.011484713345788584
304,260,0.5271657265349905,0.013933602953857266,0.8225290377399995,0.012384947734487815
315,268,0.536933667580083,0.010178261917785729,0.8299229693608292,0.012263220718740331
325,276,0.5463020935605948,0.01404973255847783,0.8337804876953033,0.012806161001915306
335,283,0.5461620749495939,0.01356479324989434,0.8452434160242622,0.012140056279914912
346,292,0.5529435387019203,0.010224439614022567,0.8443144118976204,0.01463676812442511
358,301,0.5510334664654671,0.012422889297148226,0.8501180011498278,0.012595570357200277
367,308,0.5621809003701036,0.012244424792111396,0.8498978825691166,0.011363597423397511
380,317,0.5622533636101048,0.011414068517799764,0.8502990779416301,0.01026447287701014
391,325,0.5661868000816768,0.015409029084225041,0.8530037693412691,0.014992832286555336
400,332,0.56286256447844,0.014991751442837903,0.8565707631754439,0.013764878623790043
409,338,0.570397838924447,0.014946792789961614,0.8586288173309059,0.014668714830453107
420,346,0.5728538307549764,0.013538455862277272,0.8620522050084265,0.013036701875138943
431,354,0.5821175084570016,0.012579595394356121,0.8663451895945972,0.012177134237486353
441,361,0.5824112513266116,0.01508011894060628,0.8677106865045733,0.012869713075784092
448,366,0.5921127321219013,0.01390306479606229,0.874132813235536,0.013219633750907048
458,373,0.5948545890496894,0.013177231709972918,0.8698809445032927,0.013520438346494787
467,379,0.5969872391490341,0.01342129480965586,0.8713548936966364,0.012738844474658697
478,386,0.5928077614353432,0.016083902727529232,0.8749292721931555,0.011481554478910555
490,394,0.593557998807325,0.013218757741875595,0.8723007808376619,0.013520770339983912
