l,PCA_dim,strict_mean,strict_std,loose_mean,loose_std
20,19,0.019870822831734178,0.0035849668556953663,0.43187583857779493,0.0058100751175314104
40,37,0.021132307046448445,0.004260836204312257,0.4533334962211467,0.008402661539116174
60,55,0.01806954035094712,0.003016120459888121,0.44478981610699025,0.008336393505170691
81,74,0.019222614794077445,0.004809124358688118,0.44081835079623766,0.009382359983306943
100,91,0.0214941247353396,0.003070654847938986,0.4544531506238237,0.011742901308792035
121,109,0.026473269765014445,0.005176007200218856,0.47111506238376527,0.012822578356279627
140,126,0.05582601283027339,0.007622414364104922,0.5096256509118882,0.012180219178778578
160,143,0.12611499232482873,0.009398221892799737,0.5411428755873808,0.013782261523219317
180,160,0.17047661525962096,0.00851015442928187,0.5738982398177118,0.016338179396249493
213,188,0.2430753427166496,0.015099098679954487,0.6138594835270078,0.013519693712197639
220,193,0.26052884402810406,0.009425629071112116,0.6205648473457958,0.01372393438224948
240,210,0.29974134203858904,0.015291950915725563,0.6682477669538953,0.008838956170438825
260,226,0.35924054727321636,0.0086931820784068,0.708881355600244,0.013345053121586693
280,242,0.3909039300996048,0.012518082768241904,0.7379847935265993,0.015532516039024278
300,257,0.4370355681327258,0.012180107920189028,0.7622640718909491,0.011227371879195897
320,273,0.4438839576682657,0.012633032994476448,0.7699766407711237,0.011464508052982712
340,288,0.45416707783372234,0.013817169509795692,0.7827469933040344,0.010974713915243727
360,303,0.46808664804208394,0.0153221651035851,0.7904956667918418,0.009900061694049214
380,318,0.4853578591262069,0.012583756039725068,0.8038382852356413,0.010650580887685475
400,333,0.5045796138883676,0.013106630773868143,0.8174371875825582,0.012344205558978557
420,347,0.5123695114243091,0.01592330436924698,0.8312152200418462,0.013981039703930246
440,361,0.5199825135346793,0.015870838692017247,0.8338466012697878,0.013957320317239424
460,375,0.5308804380967732,0.01701201903569315,0.8435136552874434,0.014727465370295742
489,395,0.5361773918742676,0.014119734396018518,0.8494680216485825,0.010678485182776554
500,402,0.553129849981522,0.015739733697047092,0.8562825186083262,0.01210627416385422
